Route,Direction,Stop Title,Stop Tag,Time (hh:mm:ss),Timepoint Type
lantern,in,1st Avenue and 5th Street,1av5st_i,   , 
lantern,in,Softball Complex,softball_i,   , 
lantern,in,Dental College,dentcol_i,   , 
lantern,in,Hardin Library,hardlib_i, 11:11:00 ,SchedPoint
lantern,in,MERF,merf_i,   , 
lantern,in,IIBD,iibd_i,   , 
lantern,in,EPB,epb_i,   , 
lantern,in,IMU,imu_i,   , 
lantern,in,Macbride Hall,machall_i,   , 
lantern,in,Clinton and Washington - Hidden Arrival,clintwash_a, 11:17:00 ,SchedArrival
lantern,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 11:30:00 ,Timepoint
lantern,out,Hubbard Park,hubbard_o,   , 
lantern,out,Student Health,studhlth_o,   , 
lantern,out,Newton Road - Parking Ramp,newtramp_o,   , 
lantern,out,VA Hospital and University Hospitals,vahosp_o, 11:36:00 ,SchedPoint
lantern,out,Newton and Lincoln,newtlinc_o,   , 
lantern,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
lantern,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
lantern,out,Highway 6 and 1st Avenue - Hardees,hwy6hard_o, 11:41:00 ,SchedPoint
lantern,out,4th Avenue and Highway 6,4avhwy6_o,   , 
lantern,out,4th Avenue and 5th Street,4av5st_o,   , 
lantern,out,5th Street and 6th Avenue,5st6av_o,   , 
lantern,out,5th Street and 10th Avenue - Post Office,5st10av_o, 11:44:00 ,SchedPoint
lantern,out,5th Street and 12th Avenue - Library,5st12av_o,   , 
lantern,out,5th Street and 7th Street - City Hall,5st7av_o,   , 
lantern,out,5th Street and 18th Avenue - Coral Village,5st18av_o,   , 
lantern,out,20th Avenue and 5th Street,20av5st_o,   , 
lantern,out,8th Street and 20th Avenue,8st20av_o,   , 
lantern,out,20th Avenue and 9th Street,20av9st_o,   , 
lantern,out,9th Street and 20th Avenue Place,9st20av_o,   , 
lantern,out,9th Street and 21st Avenue,9st21av_o, 11:48:00 ,SchedPoint
lantern,out,22nd Avenue and 10th Street Place,22av10stpl_o,   , 
lantern,out,22nd Avenue and 10th Street,22av10st_o,   , 
lantern,out,10th Street and 23th Avenue,10st23av_o,   , 
lantern,out,10th Street and North Boston Way,10stnbstn_o,   , 
lantern,out,10th Street and 25th Avenue,10st25av_o,   , 
lantern,in,Coral Ridge Mall,crlrdmall_i, 11:54:00 ,SchedPoint
lantern,in,10th Street and South Boston Way,10stsbstn_i,   , 
lantern,in,10th Street and 23rd Avenue,10st23av_i,   , 
lantern,in,10th Street and 22nd Avenue,10st22av_i,   , 
lantern,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
lantern,in,10th Street and 20th Avenue,10st20av_i,   , 
lantern,in,10th Street and 17th Avenue,10st17av_i,   , 
lantern,in,14th Avenue and 10th Street.,14av10st_i,   , 
lantern,in,14th Avenue and 9th Street,14av9st_i,   , 
lantern,in,14th Avenue and 8th Street,14av8st_i, 12:00:00 ,SchedPoint
lantern,in,8th Street and 12th Avenue,8st12av_i,   , 
lantern,in,12th Avenue and 7th Street,12av7st_i,   , 
lantern,in,7th Street and 10th Avenue,7st10av_i,   , 
lantern,in,7th Street and 7th Avenue,7st7av_i,   , 
lantern,in,7th Street and 6th Avenue,7st6av_i,   , 
lantern,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
lantern,in,4th Ave. and 6th Street,4av6st_i,   , 
lantern,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 12:05:00 ,SchedPoint
lantern,in,6th Street and 1st Avenue,6st1av_i,   , 
lantern,in,1st Avenue and 5th Street,1av5st_i,   , 
lantern,in,Softball Complex,softball_i,   , 
lantern,in,Dental College,dentcol_i,   , 
lantern,in,Hardin Library,hardlib_i, 12:11:00 ,SchedPoint
lantern,in,MERF,merf_i,   , 
lantern,in,IIBD,iibd_i,   , 
lantern,in,EPB,epb_i,   , 
lantern,in,IMU,imu_i,   , 
lantern,in,Macbride Hall,machall_i,   , 
lantern,in,Clinton and Washington - Hidden Arrival,clintwash_a, 12:17:00 ,SchedArrival
nightsat,out,5th Street and 10th Avenue - Post Office,5st10av_o, 07:15:00 ,BreakPoint
nightsat,out,5th Street and 12th Avenue - Library,5st12av_o,   , 
nightsat,out,5th Street and 7th Street - City Hall,5st7av_o,   , 
nightsat,out,5th Street and 18th Avenue - Coral Village,5st18av_o,   , 
nightsat,out,20th Avenue and 5th Street,20av5st_o,   , 
nightsat,out,8th Street and 20th Avenue,8st20av_o,   , 
nightsat,out,20th Avenue and 9th Street,20av9st_o,   , 
nightsat,out,9th Street and 20th Avenue Place,9st20av_o,   , 
nightsat,out,9th Street and 21st Avenue,9st21av_o, 07:18:00 ,SchedPoint
nightsat,out,9th Street and Oakleaf,9stoak_o,   , 
nightsat,out,9th Street and 23rd Avenue,9st23av_o,   , 
nightsat,out,23th Avenue and 10th Street,23av10st_o,   , 
nightsat,out,10th Street and North Boston Way,10stnbstn_o,   , 
nightsat,out,10th Street and 25th Avenue,10st25av_o,   , 
nightsat,in,Coral Ridge Mall,crlrdmall_i, 07:22:00 ,SchedPoint
nightsat,in,10th Street and South Boston Way,10stsbstn_i,   , 
nightsat,in,10th Street and 23rd Avenue,10st23av_i,   , 
nightsat,in,10th Street and 22nd Avenue,10st22av_i,   , 
nightsat,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
nightsat,in,10th Street and 20th Avenue,10st20av_i,   , 
nightsat,in,10th Street and 17th Avenue,10st17av_i,   , 
nightsat,in,14th Avenue and 10th Street.,14av10st_i,   , 
nightsat,in,14th Avenue and 9th Street,14av9st_i,   , 
nightsat,in,14th Avenue and 8th Street,14av8st_i, 07:29:00 ,SchedPoint
nightsat,in,8th Street and 12th Avenue,8st12av_i,   , 
nightsat,in,12th Avenue and 7th Street,12av7st_i,   , 
nightsat,in,7th Street and 10th Avenue,7st10av_i,   , 
nightsat,in,7th Street and 7th Avenue,7st7av_i,   , 
nightsat,in,7th Street and 6th Avenue,7st6av_i,   , 
nightsat,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
nightsat,in,4th Ave. and 6th Street,4av6st_i,   , 
nightsat,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 07:35:00 ,SchedPoint
nightsat,in,6th Street and 1st Avenue,6st1av_i,   , 
nightsat,in,1st Avenue and 5th Street,1av5st_i, 07:38:00 ,SchedPoint
nightsat,in,Softball Complex,softball_i,   , 
nightsat,in,Dental College,dentcol_i,   , 
nightsat,in,Hardin Library,hardlib_i, 07:44:00 ,SchedPoint
nightsat,in,MERF,merf_i,   , 
nightsat,in,IIBD,iibd_i,   , 
nightsat,in,EPB,epb_i,   , 
nightsat,in,IMU,imu_i,   , 
nightsat,in,Macbride Hall,machall_i,   , 
nightsat,in,Clinton and Washington - Hidden Arrival,clintwash_a, 07:50:00 ,SchedArrival
nightsat,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 08:00:00 ,Timepoint
nightsat,out,Hubbard Park,hubbard_o,   , 
nightsat,out,Student Health,studhlth_o,   , 
nightsat,out,Newton Road - Parking Ramp,newtramp_o,   , 
nightsat,out,VA Hospital and University Hospitals,vahosp_o, 08:06:00 ,SchedPoint
nightsat,out,Newton and Lincoln,newtlinc_o,   , 
nightsat,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
nightsat,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
nightsat,out,Clear Creek,clrcreek_o,   , 
nightsat,out,5th Street and 2nd Avenue Place,5st2avpl_o,   , 
nightsat,out,5th Street and 4th Avenue,5st4av_o,   , 
nightsat,out,5th Street and 6th Avenue,5st6av_o,   , 
nightsat,out,5th Street and 8th Avenue,5st8av_o,   , 
nightsat,out,5th Street and 10th Avenue - Post Office,5st10av_o, 08:15:00 ,SchedPoint
nightsat,out,5th Street and 12th Avenue - Library,5st12av_o,   , 
nightsat,out,5th Street and 7th Street - City Hall,5st7av_o,   , 
nightsat,out,5th Street and 18th Avenue - Coral Village,5st18av_o,   , 
nightsat,out,20th Avenue and 5th Street,20av5st_o,   , 
nightsat,out,8th Street and 20th Avenue,8st20av_o,   , 
nightsat,out,20th Avenue and 9th Street,20av9st_o,   , 
nightsat,out,9th Street and 20th Avenue Place,9st20av_o,   , 
nightsat,out,9th Street and 21st Avenue,9st21av_o, 08:18:00 ,SchedPoint
nightsat,out,9th Street and Oakleaf,9stoak_o,   , 
nightsat,out,9th Street and 23rd Avenue,9st23av_o,   , 
nightsat,out,23th Avenue and 10th Street,23av10st_o,   , 
nightsat,out,10th Street and North Boston Way,10stnbstn_o,   , 
nightsat,out,10th Street and 25th Avenue,10st25av_o,   , 
nightsat,in,Coral Ridge Mall,crlrdmall_i, 08:22:00 ,SchedPoint
nightsat,in,10th Street and South Boston Way,10stsbstn_i,   , 
nightsat,in,10th Street and 23rd Avenue,10st23av_i,   , 
nightsat,in,10th Street and 22nd Avenue,10st22av_i,   , 
nightsat,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
nightsat,in,10th Street and 20th Avenue,10st20av_i,   , 
nightsat,in,10th Street and 17th Avenue,10st17av_i,   , 
nightsat,in,14th Avenue and 10th Street.,14av10st_i,   , 
nightsat,in,14th Avenue and 9th Street,14av9st_i,   , 
nightsat,in,14th Avenue and 8th Street,14av8st_i, 08:29:00 ,SchedPoint
nightsat,in,8th Street and 12th Avenue,8st12av_i,   , 
nightsat,in,12th Avenue and 7th Street,12av7st_i,   , 
nightsat,in,7th Street and 10th Avenue,7st10av_i,   , 
nightsat,in,7th Street and 7th Avenue,7st7av_i,   , 
nightsat,in,7th Street and 6th Avenue,7st6av_i,   , 
nightsat,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
nightsat,in,4th Ave. and 6th Street,4av6st_i,   , 
nightsat,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 08:35:00 ,SchedPoint
nightsat,in,6th Street and 1st Avenue,6st1av_i,   , 
nightsat,in,1st Avenue and 5th Street,1av5st_i, 08:38:00 ,SchedPoint
nightsat,in,Softball Complex,softball_i,   , 
nightsat,in,Dental College,dentcol_i,   , 
nightsat,in,Hardin Library,hardlib_i, 08:44:00 ,SchedPoint
nightsat,in,MERF,merf_i,   , 
nightsat,in,IIBD,iibd_i,   , 
nightsat,in,EPB,epb_i,   , 
nightsat,in,IMU,imu_i,   , 
nightsat,in,Macbride Hall,machall_i,   , 
nightsat,in,Clinton and Washington - Hidden Arrival,clintwash_a, 08:50:00 ,SchedArrival
nightsat,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 09:00:00 ,Timepoint
nightsat,out,Hubbard Park,hubbard_o,   , 
nightsat,out,Student Health,studhlth_o,   , 
nightsat,out,Newton Road - Parking Ramp,newtramp_o,   , 
nightsat,out,VA Hospital and University Hospitals,vahosp_o, 09:06:00 ,SchedPoint
nightsat,out,Newton and Lincoln,newtlinc_o,   , 
nightsat,out,Carver Hawkeye Arena on Elliott,carver_o,   , 
nightsat,out,Highway 6 and Hawkins,hwy6hawk_o,   , 
nightsat,out,Clear Creek,clrcreek_o,   , 
nightsat,out,5th Street and 2nd Avenue Place,5st2avpl_o,   , 
nightsat,out,5th Street and 4th Avenue,5st4av_o,   , 
nightsat,out,5th Street and 6th Avenue,5st6av_o,   , 
nightsat,out,5th Street and 8th Avenue,5st8av_o,   , 
nightsat,out,5th Street and 10th Avenue - Post Office,5st10av_o, 09:15:00 ,SchedPoint
nightsat,out,5th Street and 12th Avenue - Library,5st12av_o,   , 
nightsat,out,5th Street and 7th Street - City Hall,5st7av_o,   , 
nightsat,out,5th Street and 18th Avenue - Coral Village,5st18av_o,   , 
nightsat,out,20th Avenue and 5th Street,20av5st_o,   , 
nightsat,out,8th Street and 20th Avenue,8st20av_o,   , 
nightsat,out,20th Avenue and 9th Street,20av9st_o,   , 
nightsat,out,9th Street and 20th Avenue Place,9st20av_o,   , 
nightsat,out,9th Street and 21st Avenue,9st21av_o, 09:18:00 ,SchedPoint
nightsat,out,9th Street and Oakleaf,9stoak_o,   , 
nightsat,out,9th Street and 23rd Avenue,9st23av_o,   , 
nightsat,out,23th Avenue and 10th Street,23av10st_o,   , 
nightsat,out,10th Street and North Boston Way,10stnbstn_o,   , 
nightsat,out,10th Street and 25th Avenue,10st25av_o,   , 
nightsat,in,Coral Ridge Mall,crlrdmall_i, 09:22:00 ,SchedPoint
nightsat,in,10th Street and South Boston Way,10stsbstn_i,   , 
nightsat,in,10th Street and 23rd Avenue,10st23av_i,   , 
nightsat,in,10th Street and 22nd Avenue,10st22av_i,   , 
nightsat,in,10th Street and 10th Street Ct.,10st10stct_i,   , 
nightsat,in,10th Street and 20th Avenue,10st20av_i,   , 
nightsat,in,10th Street and 17th Avenue,10st17av_i,   , 
nightsat,in,14th Avenue and 10th Street.,14av10st_i,   , 
nightsat,in,14th Avenue and 9th Street,14av9st_i,   , 
nightsat,in,14th Avenue and 8th Street,14av8st_i, 09:29:00 ,SchedPoint
nightsat,in,8th Street and 12th Avenue,8st12av_i,   , 
nightsat,in,12th Avenue and 7th Street,12av7st_i,   , 
nightsat,in,7th Street and 10th Avenue,7st10av_i,   , 
nightsat,in,7th Street and 7th Avenue,7st7av_i,   , 
nightsat,in,7th Street and 6th Avenue,7st6av_i,   , 
nightsat,in,7th Street and 4th Avenue Place.,7st4avpl_i,   , 
nightsat,in,4th Ave. and 6th Street,4av6st_i,   , 
nightsat,in,6th Street and 4th Ave. - Scotsdale,6st4av_i, 09:35:00 ,SchedPoint
nightsat,in,6th Street and 1st Avenue,6st1av_i,   , 
nightsat,in,1st Avenue and 5th Street,1av5st_i, 09:38:00 ,SchedPoint
nightsat,in,Softball Complex,softball_i,   , 
nightsat,in,Dental College,dentcol_i,   , 
nightsat,in,Hardin Library,hardlib_i, 09:44:00 ,SchedPoint
nightsat,in,MERF,merf_i,   , 
nightsat,in,IIBD,iibd_i,   , 
nightsat,in,EPB,epb_i,   , 
nightsat,in,IMU,imu_i,   , 
nightsat,in,Macbride Hall,machall_i,   , 
nightsat,in,Clinton and Washington - Hidden Arrival,clintwash_a, 09:50:00 ,SchedArrival
nightsat,out,Clinton & Washington - Downtown Iowa City,clintwash_o, 10:00:00 ,Timepoint
nightsat,out,Hubbard Park,hubbard_o,   , 
nightsat,out,Student Health,studhlth_o,   , 
